year,pop,pred_lr,pred_poly,pred_exp,pred_arima,pred_prophet
2010,255000.0,7129523.529411793,7438878.921562195,7474491.83836324,,
2011,267000.0,7606557.0588235855,7792170.294113159,7819044.1461798055,,
2012,279000.0,8083590.588235378,8163139.117637634,8179479.312040749,,
2013,293000.0,8560624.117647052,8551785.392150879,8556529.489450352,,
2014,307000.0,9037657.647058845,8958109.117637634,8950960.582057869,,
2015,321000.0,9514691.176470637,9382110.29410553,9363573.799439948,,
2016,336000.0,9991724.70588243,9823788.921554565,9795207.284602102,,
2017,352000.0,10468758.235294104,10283144.999984741,10246737.816501155,,
2018,369000.0,10945791.764705896,10760178.529403687,10719082.591051206,,
2019,386000.0,11422825.29411769,11254889.509796143,11213201.084226498,,
2020,403000.0,11899858.823529482,11767277.941169739,11730097.001050288,,
2021,421000.0,12376892.352941155,12297343.823524475,12270820.314423935,,
2022,440000.0,12853925.882352948,12845087.156852722,12836469.397942683,,
2023,459000.0,13330959.411764741,13410507.941169739,13428193.257025497,,
2024,479000.0,13807992.941176534,13993606.176460266,14047193.862895198,,
2025,500000.0,14285026.470588207,14594381.862731934,14694728.594148401,,
2026,500000.0,14762060.0,15212834.99999237,15372112.790872686,,
2027,500000.0,15239093.529411793,15848965.588226318,16080722.426504217,,
2028,500000.0,15716127.058823586,16502773.627441406,16821996.902846802,,
2029,500000.0,16193160.588235378,17174259.117637634,17597441.973936755,,
2030,500000.0,16670194.117647052,17863422.058815002,18408632.80468569,,
2031,500000.0,17147227.647058845,18570262.45097351,19257217.170521744,,
2032,500000.0,17624261.176470637,19294780.29410553,20144918.804520853,,
2033,500000.0,18101294.70588243,20036975.58822632,21073540.898835316,,
2034,500000.0,18578328.235294104,20796848.333320618,22044969.767523527,,
2035,500000.0,19055361.764705896,21574398.529403687,23061178.67823021,,
